,chromosome,start,end
HMGA1P6,chr13,23708313,23708703
RNY3P4,chr13,23726725,23726825
LINC00362,chr13,23743974,23744736
RNU6-58P,chr13,23791571,23791673
TATDN2P3,chr13,23817659,23821323
LINC00363,chr13,93708910,93710179
SDAD1P4,chr13,23841645,23843289
RPLP1P13,chr13,23947562,23948200
SACS-AS1,chr13,23993110,24002818
HNRNPA1P29,chr13,94047230,94048108
GPC6-AS2,chr13,94470677,94488397
RNA5SP35,chr13,94677724,94677852
LINC00327,chr13,24040710,24061603
GPC6-AS1,chr13,94806447,94840245
LINC00352,chr13,24072935,24077013
RNA5SP36,chr13,95303651,95303783
MTCO3P2,chr13,24340073,24340243
RN7SL585P,chr13,95351479,95351756
LINC00391,chr13,95351948,95355116
SOX21-AS1,chr13,95364970,95368500
C1QTNF9B-AS1,chr13,24463028,24471402
BRD7P5,chr13,95409705,95411526
RPL21P112,chr13,95412807,95413269
LINC00557,chr13,95612295,95613573
RNU6-62P,chr13,95671489,95671590
RNY3P8,chr13,95963084,95963209
ANKRD20A19P,chr13,24513696,24520921
RNY4P27,chr13,95988360,95988455
MEMO1P5,chr13,96046303,96046708
CLDN10-AS1,chr13,96131698,96186164
DNAJC3-AS1,chr13,96300987,96329179
IPO7P2,chr13,24696204,24697953
MTND5P2,chr13,96344792,96346226
MIR2276,chr13,24736555,24736643
SPATA13-AS1,chr13,24826887,24828577
MTND6P18,chr13,96346237,96346749
C1QTNF9-AS1,chr13,24889863,24895736
MTCYBP3,chr13,96346823,96347959
NUS1P3,chr13,24902349,24903210
LINC00566,chr13,24905588,24911259
HMGN1P24,chr13,96461564,96461861
CYCSP33,chr13,24974841,24975167
RN7SL164P,chr13,96821799,96822099
AMMECR1LP1,chr13,97225913,97226753
TPTE2P6,chr13,24982295,25171814
HSP90AB6P,chr13,97536096,97542067
LINC00359,chr13,97593535,97636426
PSPC1P2,chr13,25140981,25144866
TULP3P1,chr13,97599891,97601181
RN7SKP7,chr13,97601503,97601787
RNY1P7,chr13,25277694,25277803
RPL26P34,chr13,25278476,25278926
LINC00456,chr13,97824723,97831876
IRX1P1,chr13,25316815,25320322
RNA5SP37,chr13,98015226,98015355
PSMA6P4,chr13,98127996,98128713
ANKRD20A10P,chr13,25324795,25326309
RPL7AP61,chr13,98553907,98554542
TPTE2P1,chr13,25498815,25542625
FTLP8,chr13,98639204,98639470
RN7SKP8,chr13,98856089,98856446
MIR3170,chr13,98860778,98860854
SLC25A15P3,chr13,25517713,25518636
FARP1-AS1,chr13,99087659,99088094
RPL34P27,chr13,25562715,25563063
STK24-AS1,chr13,99229498,99231084
NUS1P4,chr13,99262546,99263130
AMER2-AS1,chr13,25746966,25754217
CYCSP35,chr13,99281940,99282243
LINC01053,chr13,25755579,25763898
CALM2P4,chr13,99293068,99293493
LINC01076,chr13,25767245,25784433
RN7SL60P,chr13,99324234,99324529
RPL23AP69,chr13,25780187,25780644
DOCK9-AS1,chr13,99484338,99486883
RPL7L1P12,chr13,99601973,99602701
TCEB2P1,chr13,25939937,25940293
RN7SL289P,chr13,26027137,26027428
RNU6-83P,chr13,99677488,99677599
RNU6-78P,chr13,26091257,26091363
DOCK9-AS2,chr13,99740073,99740879
RPS6P23,chr13,99825847,99826744
RN7SL741P,chr13,26518632,26518891
RNY1P3,chr13,26524842,26524959
LINC00415,chr13,26626414,26627523
GAPDHP22,chr13,99842833,99843245
UBAC2-AS1,chr13,99848631,99852964
ATP8A2P3,chr13,26688547,26728313
RN7SKP9,chr13,99857962,99858260
H2AFZP3,chr13,99867626,99868012
MIR623,chr13,100008385,100008482
PRUNEP1,chr13,26691686,26693102
HMGB3P4,chr13,100024427,100024940
CCR12P,chr13,100060035,100061316
PRKRIRP6,chr13,26808350,26811266
LINC00449,chr13,100151981,100153306
RPS3AP44,chr13,27151023,27151812
RNY3P6,chr13,100188573,100188650
LINC01039,chr13,100229366,100232622
WASF3-AS1,chr13,27180681,27215501
CFL1P8,chr13,100234960,100235434
FGFR1OP2P1,chr13,27479499,27479998
RPS21P8,chr13,27551680,27551926
MIR4306,chr13,100295313,100295403
RPS20P32,chr13,27591688,27592046
CLYBL-AS2,chr13,100342335,100343225
USP12-AS1,chr13,27736992,27743272
CLYBL-AS1,chr13,100378501,100379745
USP12-AS2,chr13,27746396,27757135
LINC00412,chr13,27810419,27810948
SNORD102,chr13,27829201,27829272
LINC00554,chr13,100647153,100650163
SNORA27,chr13,27829538,27829663
NDUFA12P1,chr13,100680023,100680428
RNU6-70P,chr13,27917785,27917883
LINC01079,chr13,27947485,27948503
ASNSP3,chr13,100714550,100715855
RNY1P1,chr13,27976613,27976724
RNU6-63P,chr13,28062275,28062369
RPL15P18,chr13,100802735,100803346
NPM1P4,chr13,28270530,28271341
RNU6-73P,chr13,28402900,28403006
PCCA-AS1,chr13,101116694,101133411
PDX1-AS1,chr13,28407581,28495541
LINC00543,chr13,28527663,28529507
RN7SL272P,chr13,28563435,28563721
KATNBL1P1,chr13,28641724,28642471
CHCHD2P8,chr13,28681568,28682014
RPS26P47,chr13,101192089,101192528
PAN3-AS1,chr13,28710980,28712330
COX5BP6,chr13,101276129,101276683
EEF1A1P3,chr13,28788650,28790034
RNU6-82P,chr13,28806638,28806744
NALCN-AS1,chr13,101360579,101711638
EIF4A1P7,chr13,29172970,29174189
RNU6-53P,chr13,29277839,29277944
ARF4P3,chr13,101408805,101409313
CYP51A1P2,chr13,29296523,29298158
LINC00411,chr13,101593116,101596618
POM121L13P,chr13,29352695,29353074
RNU1-24P,chr13,102431234,102431398
MTUS2-AS2,chr13,29813516,29824691
HMGB3P7,chr13,102454228,102454838
MIR2681,chr13,102619992,102620096
GAPDHP69,chr13,29880915,29881922
LIPT1P1,chr13,102654475,102655660
RNY1P2,chr13,102669303,102669419
MTUS2-AS1,chr13,30050652,30064242
MIR4705,chr13,102698284,102698354
RPL39P29,chr13,102915396,102915552
TIMM8BP1,chr13,30440096,30440306
LINC00297,chr13,30446750,30462542
FGF14-IT1,chr13,102944677,103046869
LINC00572,chr13,30492784,30500788
FGF14-AS1,chr13,103019889,103026016
LINC00544,chr13,30510042,30524625
FGF14-AS2,chr13,103046980,103048053
LINC00555,chr13,103241722,103242163
LINC00365,chr13,30677315,30683012
LINC00384,chr13,30726023,30733758
LINC00283,chr13,103395340,103397574
LINC00385,chr13,30728203,30728723
RNY5P8,chr13,103472343,103472419
RNU6-64P,chr13,30855902,30856006
